AP_XC_4_Team_Race,SEC,ACC,Big Ten,Pac-12,Big 12,FBS Indep.,American,Mountain West,CUSA,Sun Belt,MAC
Preseason,31.0,49.0,30.0,58.0,63.0,,,,,,
Week 2,22.0,64.0,37.0,59.0,63.0,,,,,,
Week 3,23.0,64.0,40.0,61.0,58.0,,,,,,
Week 4,18.0,60.0,51.5,66.5,49.0,,,,,,
Week 5,18.0,69.0,42.0,61.0,61.0,,,,,,
Week 6,16.0,68.0,45.0,63.0,60.0,,,,,,
Week 7,30.0,,38.0,70.0,56.0,,,,,,
Week 8,25.0,84.5,45.0,78.0,64.0,,88.0,,,,
Week 9,21.0,85.0,51.0,71.0,53.0,,98.0,,,,
Week 10,22.0,71.0,46.0,85.0,65.0,,88.0,,,,
Week 11,27.0,54.0,57.0,92.0,51.0,,,100.0,,,
Week 12,31.0,66.0,53.0,82.0,44.0,,,,,,
Week 13,27.5,72.0,49.0,73.5,54.0,,,,,,
Week 14,28.5,,49.0,69.5,53.0,,,,,,
Week 15,28.0,,52.0,71.0,58.0,,,,,,
Week 16,,,,,,,,,,,
Final,23.0,,55.0,79.0,64.0,,,,,,
