"('SEC', 25)","('Big Ten', 45)","('ACC', 84.5)","('FBS Indep.', 'DNS')","('Big 12', 64)","('American', 88)","('Pac-12', 78)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Ohio State', 2)","('Clemson', 3)","('Notre Dame', 4)","('Texas', 7)","('UCF', 10)","('Oregon', 12)","('San Diego State', 27.5)","('Appalachian St', 29)"
"('LSU', 5)","('Michigan', 6)","('NC State', 16)",,"('Oklahoma', 9)","('Cincinnati', 20)","('Washington', 15)","('Utah State', 31.5)",
"('Georgia', 8)","('Penn State', 18)","('Miami', 31.5)",,"('West Virginia', 13)","('USF', 21)","('Washington St', 25)","('Fresno State', 36)",
"('Florida', 11)","('Iowa', 19)","('Duke', 34)",,"('Texas Tech', 35)","('Houston', 37)","('Stanford', 26)",,
"('Kentucky', 14)","('Wisconsin', 23)","('UVA', 38.5)",,,,"('USC', 27.5)",,
"('Texas A&M', 17)","('Mich. St.', 24)",,,,,"('Colorado', 30)",,
"('Miss St', 22)","('Maryland', 38.5)",,,,,"('Utah', 33)",,
