"('SEC', 27)","('ACC', 54)","('FBS Indep.', 'DNS')","('Big Ten', 57)","('Big 12', 51)","('Pac-12', 92)","('American', 'DNS')","('Mountain West', 100)","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Notre Dame', 3)","('Michigan', 4)","('Oklahoma', 6)","('Washington St', 10)","('UCF', 11)","('Utah State', 14)","('UAB', 30)","('Buffalo', 35)"
"('Georgia', 5)","('Syracuse', 13)","('Army', 29)","('Ohio State', 8)","('West Virginia', 7)","('Washington', 20)","('Cincinnati', 25)","('Fresno State', 16)",,
"('LSU', 9)","('Boston College', 17)",,"('Penn State', 21)","('Texas', 15)","('Utah', 26)","('Houston', 39.5)","('Boise State', 33)",,
"('Kentucky', 12)","('NC State', 22)",,"('Mich. St.', 24)","('Iowa State', 23)","('Oregon', 36)",,"('San Diego State', 37)",,
"('Miss St', 18)","('Duke', 38)",,"('Wisconsin', 28)","('Texas Tech', 41)",,,,,
"('Florida', 19)",,,"('Northwestern', 31)",,,,,,
"('Auburn', 27)",,,"('Iowa', 32)",,,,,,
"('Texas A&M', 39.5)",,,"('Purdue', 34)",,,,,,
