"('SEC', 28.5)","('ACC', 'DNS')","('FBS Indep.', 'DNS')","('Big 12', 53)","('Big Ten', 49)","('American', 'DNS')","('Pac-12', 69.5)","('Mountain West', 'DNS')","('MAC', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Notre Dame', 3)","('Oklahoma', 5)","('Ohio State', 6)","('UCF', 7)","('Washington', 10)","('Boise State', 19)","('Buffalo', 33.0)","('Appalachian St', 33.0)"
"('Georgia', 4)","('Syracuse', 18)","('Army', 23)","('Texas', 9)","('Michigan', 8)","('Cincinnati', 29)","('Washington St', 12.5)","('Fresno State', 25)",,
"('Florida', 11)","('NC State', 28)",,"('West Virginia', 15)","('Penn State', 14)",,"('Utah', 17)","('Utah State', 26)",,
"('LSU', 12.5)",,,"('Iowa State', 24)","('Northwestern', 21)",,"('Stanford', 30)",,,
"('Kentucky', 16)",,,,"('Iowa', 31)",,"('Oregon', 33.0)",,,
"('Miss St', 20)",,,,,,,,,
"('Texas A&M', 22)",,,,,,,,,
"('Missouri', 27)",,,,,,,,,
