"('SEC', 27.5)","('ACC', 72)","('FBS Indep.', 'DNS')","('Big Ten', 49)","('Big 12', 54)","('Pac-12', 73.5)","('American', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Notre Dame', 3)","('Michigan', 4)","('Oklahoma', 6)","('Washington St', 7)","('UCF', 8.5)","('Utah State', 14)","('UAB', 34)","('Troy', 37.5)","('Buffalo', 37.5)"
"('Georgia', 5)","('Syracuse', 19)","('Army', 23)","('Ohio State', 10)","('Texas', 11)","('Washington', 16)","('Cincinnati', 28)","('Boise State', 21)",,,
"('LSU', 8.5)","('Pitt', 24)",,"('Penn State', 15)","('West Virginia', 12)","('Utah', 18)","('Houston', 35)","('Fresno State', 26)",,,
"('Florida', 13)","('NC State', 27)",,"('Northwestern', 20)","('Iowa State', 25)","('Stanford', 32.5)",,,,,
"('Kentucky', 17)",,,"('Iowa', 32.5)",,,,,,,
"('Miss St', 22)",,,"('Wisconsin', 36)",,,,,,,
"('Missouri', 29)",,,,,,,,,,
"('Texas A&M', 30)",,,,,,,,,,
"('Auburn', 31)",,,,,,,,,,
