"('SEC', 21)","('ACC', 85)","('FBS Indep.', 'DNS')","('Big Ten', 51)","('Big 12', 53)","('American', 98)","('Pac-12', 71)","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Notre Dame', 3)","('Michigan', 5)","('Texas', 6)","('UCF', 10)","('Washington St', 14)","('Appalachian St', 25)","('Utah State', 27)","('UAB', 39)"
"('LSU', 4)","('NC State', 22)",,"('Ohio State', 11)","('Oklahoma', 8)","('USF', 21)","('Washington', 15)",,"('San Diego State', 28)",
"('Georgia', 7)","('Miami', 30)",,"('Penn State', 17)","('West Virginia', 13)","('Houston', 32)","('Oregon', 19)",,"('Fresno State', 29)",
"('Florida', 9)","('UVA', 31)",,"('Iowa', 18)","('Texas Tech', 26)","('Cincinnati', 35)","('Utah', 23)",,,
"('Kentucky', 12)","('Boston College', 37.5)",,"('Wisconsin', 20)",,,"('Stanford', 24)",,,
"('Texas A&M', 16)",,,"('Purdue', 33)",,,,,,
"('Auburn', 36)",,,"('Mich. St.', 34)",,,,,,
"('Miss St', 37.5)",,,,,,,,,
