"('SEC', 16)","('Big Ten', 45)","('ACC', 68)","('FBS Indep.', 'DNS')","('Big 12', 60)","('Pac-12', 63)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Clemson', 4)","('Notre Dame', 6)","('Oklahoma', 7)","('Washington', 10)","('UCF', 12)","('Boise State', 26)","('Appalachian St', 40.5)"
"('Georgia', 2)","('Penn State', 11)","('Miami', 17)","('BYU', 38.0)","('West Virginia', 9)","('Stanford', 14)","('USF', 27)","(""Hawai'i"", 43.0)",
"('LSU', 5)","('Michigan', 15)","('NC State', 23)",,"('Texas', 19)","('Oregon', 18)","('Cincinnati', 29)","('San Diego State', 43.0)",
"('Auburn', 8)","('Wisconsin', 16)","('VT', 24)",,"('Oklahoma State', 25)","('Colorado', 21)",,,
"('Kentucky', 13)","('Mich. St.', 20)","('Syracuse', 28)",,"('TCU', 33)","('Washington St', 32)",,,
"('Florida', 22)","('Iowa', 30)","('Boston College', 38.0)",,,"('Cal', 34.5)",,,
"('Texas A&M', 31)","('Maryland', 34.5)","('Duke', 43.0)",,,"('Arizona State', 40.5)",,,
"('Missouri', 36)",,,,,,,,
"('Miss St', 38.0)",,,,,,,,
