"('SEC', 28)","('ACC', 'DNS')","('FBS Indep.', 'DNS')","('Big 12', 58)","('Big Ten', 52)","('American', 'DNS')","('Pac-12', 71)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Notre Dame', 3)","('Oklahoma', 4)","('Ohio State', 5)","('UCF', 7)","('Washington', 9)","('Fresno State', 19)","('Appalachian St', 31)","('UAB', 32.5)"
"('Georgia', 6)","('Syracuse', 17)","('Army', 22)","('Texas', 14)","('Michigan', 8)","('Cincinnati', 29)","('Washington St', 12)","('Boise State', 23)","('Troy', 34.5)",
"('Florida', 10)","('NC State', 28)",,"('West Virginia', 15)","('Penn State', 13)",,"('Utah', 20)","('Utah State', 27)",,
"('LSU', 11)",,,"('Iowa State', 25)","('Northwestern', 26)",,"('Stanford', 30)",,,
"('Kentucky', 16)",,,,"('Iowa', 32.5)",,"('Oregon', 34.5)",,,
"('Miss St', 18)",,,,,,,,,
"('Texas A&M', 21)",,,,,,,,,
"('Missouri', 24)",,,,,,,,,
