"('SEC', 17)","('Big Ten', 40)","('ACC', 54)","('Big 12', 56)","('Pac-12', 46)","('American', 'DNS')","('Sun Belt', 'DNS')","('FBS Indep.', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('Clemson', 5)","('TCU', 8)","('UCLA', 9)","('Cincinnati', 21)","('James Madison', 31.5)","('Liberty', 35)"
"('Tennessee', 3)","('Michigan', 4)","('Wake Forest', 13)","('Oklahoma St', 11)","('Oregon', 10)","('Tulane', 25)","('South Alabama', 34)",
"('Alabama', 6)","('Penn State', 16)","('Syracuse', 14)","('Kansas St', 17)","('USC', 12)","('UCF', 28.5)",,
"('Ole Miss', 7)","('Illinois', 18)","('North Carolina', 22)","('Texas', 20)","('Utah', 15)",,,
"('Kentucky', 19)","('Purdue', 26)","('NC State', 23)","('Kansas', 30)","('Oregon St', 31.5)",,,
"('Mississippi St', 24)","('Maryland', 33)","('Florida St', 37.0)",,,,,
"('LSU', 27)","('Minnesota', 37.0)",,,,,,
"('South Carolina', 28.5)",,,,,,,
"('Arkansas', 37.0)",,,,,,,
