"('SEC', 28)","('Big Ten', 46.5)","('Big 12', 'DNS')","('Pac-12', 42)","('ACC', 74)","('American', 'DNS')","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Michigan', 2)","('TCU', 3)","('Utah', 7)","('Clemson', 10)","('Tulane', 14)","('Notre Dame', 19)","('UTSA', 22)","('Troy', 23)","('Fresno St', 30)"
"('Alabama', 5)","('Ohio State', 4)","('Kansas St', 11)","('USC', 8)","('Florida St', 13)","('UCF', 27)",,,"('South Alabama', 31.5)","('Boise St', 34)"
"('Tennessee', 6)","('Penn State', 9)","('Texas', 21)","('Washington', 12)","('NC State', 25)","('Cincinnati', 28)",,,"('James Madison', 37)",
"('LSU', 16)","('Purdue', 31.5)",,"('Oregon', 15)","('North Carolina', 26)",,,,,
"('South Carolina', 20)","('Illinois', 33)",,"('Oregon St', 17)","('Pitt', 35)",,,,,
"('Mississippi St', 24)","('Minnesota', 36)",,"('UCLA', 18)",,,,,,
"('Ole Miss', 29)",,,,,,,,,
