"('SEC', 25)","('Big Ten', 36)","('ACC', 52.5)","('Big 12', 64)","('Pac-12', 44.5)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('Clemson', 5)","('TCU', 7)","('Oregon', 8)","('Cincinnati', 20)","('Liberty', 27)","('Troy', 31)","('UTSA', 33.5)"
"('Tennessee', 3)","('Michigan', 4)","('Wake Forest', 10.5)","('Oklahoma St', 9)","('USC', 10.5)","('Tulane', 23)",,,
"('Alabama', 6)","('Penn State', 13)","('Syracuse', 16)","('Kansas St', 22)","('UCLA', 12)",,,,
"('Ole Miss', 15)","('Illinois', 17)","('North Carolina', 21)","('Texas', 26)","('Utah', 14)",,,,
"('LSU', 18)","('Maryland', 30)","('NC State', 24)",,"('Oregon St', 28)",,,,
"('Kentucky', 19)",,"('Florida St', 33.5)",,"('Washington', 33.5)",,,,
"('South Carolina', 25)",,,,,,,,
"('Mississippi St', 29)",,,,,,,,
"('Arkansas', 33.5)",,,,,,,,
