AP_XC_4_Team_Race,SEC,Big Ten,ACC,FBS Indep.,Pac-12,Big 12,American,Mountain West,Sun Belt,CUSA,MAC
Preseason,29.0,43.0,50.0,,76.5,58.0,,157.0,,,
Week 2,21.0,40.0,55.0,,87.0,55.0,,,,,
Week 3,22.0,40.0,53.0,,78.5,52.0,,,,,
Week 4,21.0,47.0,62.0,,53.0,54.0,,,,,
Week 5,18.0,39.0,60.0,,46.0,68.0,,,,,
Week 6,20.0,49.0,56.0,,47.0,63.0,,,,,
Week 7,19.0,41.0,51.0,,50.0,57.0,,,,,
Week 8,17.0,40.0,54.0,,46.0,56.0,,,,,
Week 9,25.0,36.0,52.5,,44.5,64.0,,,,,
Week 10,20.5,36.5,63.0,,39.0,64.0,112.5,,,,
Week 11,23.0,40.0,69.0,,36.0,75.0,,,,,
Week 12,20.0,48.0,68.0,,44.0,74.0,,,,,
Week 13,24.0,46.0,72.5,,41.0,79.0,,,,,
Week 14,25.0,45.0,75.0,,40.0,,,,128.5,,
Week 15,28.0,46.5,74.0,,42.0,,,,,,
Week 16,,,,,,,,,,,
Final,28.0,44.0,72.0,,45.0,72.0,,,,,
