"('SEC', 20)","('Big Ten', 48)","('Big 12', 74)","('Pac-12', 44)","('ACC', 68)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('TCU', 4)","('USC', 7)","('Clemson', 9)","('UCF', 17)","('Notre Dame', 18)","('Coastal Car', 23)","('UTSA', 28)","('Boise St', 35)"
"('Tennessee', 5)","('Michigan', 3)","('Kansas St', 19)","('Utah', 10)","('North Carolina', 13)","('Tulane', 21)","('Liberty', 31)","('Troy', 29)",,
"('LSU', 6)","('Penn State', 11)","('Oklahoma St', 24)","('Oregon', 12)","('Florida St', 20)","('Cincinnati', 22)",,"('South Alabama', 36)",,
"('Alabama', 8)","('Illinois', 32)","('Texas', 27)","('Washington', 15)","('NC State', 26)",,,,,
"('Ole Miss', 14)","('Minnesota', 33)",,"('UCLA', 16)","('Duke', 30)",,,,,
"('Florida', 34)",,,"('Oregon St', 25)",,,,,,
