"('SEC', 32)","('Big Ten', 'DNS')","('ACC', 84)","('Pac-12', 75)","('Big 12', 94)","('FBS Indep.', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')"
"('Georgia', 1)","('Ohio State', 3)","('Clemson', 5)","('USC', 6)","('Oklahoma St', 9)","('BYU', 19)","('Cincinnati', 27)","('James Madison', 35)"
"('Alabama', 2)","('Michigan', 4)","('NC State', 10)","('Utah', 12)","('Baylor', 16)",,"('Tulane', 36.5)",
"('Kentucky', 7)","('Penn State', 11)","('Wake Forest', 22)","('Oregon', 13)","('Oklahoma', 18)",,,
"('Tennessee', 8)","('Minnesota', 21)","('Florida St', 23)","('Washington', 15)","('Kansas St', 25)",,,
"('Ole Miss', 14)",,"('Pitt', 24)","('Washington St', 29)","('Kansas', 26)",,,
"('Texas A&M', 17)",,"('Syracuse', 30)","('Oregon St', 31)","('Texas Tech', 32)",,,
"('Arkansas', 20)",,"('North Carolina', 33)","('UCLA', 36.5)","('TCU', 38)",,,
"('Florida', 28)",,,,,,,
"('LSU', 34)",,,,,,,
