"('SEC', 48)","('Big 12', 'DNS')","('Big Ten', 78)","('Pac-12', 62)","('American', 'DNS')","('ACC', 104)","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('TCU', 2)","('Michigan', 3)","('Washington', 8)","('Tulane', 9)","('Florida St', 11)","('Notre Dame', 18)","('Troy', 19)","('Fresno St', 24)","('UTSA', 27)"
"('Alabama', 5)","('Kansas St', 14)","('Ohio State', 4)","('Utah', 10)","('Cincinnati', 39.5)","('Clemson', 13)",,"('Marshall', 37.5)","('Air Force', 28)",
"('Tennessee', 6)","('Texas', 25)","('Penn State', 7)","('USC', 12)",,"('Pitt', 22)",,,"('Boise St', 29)",
"('LSU', 16)","('Texas Tech', 31)","('Minnesota', 30)","('Oregon', 15)",,"('Duke', 26)",,,,
"('Mississippi St', 20)",,"('Iowa', 34)","('Oregon St', 17)",,"('North Carolina', 32)",,,,
"('South Carolina', 23)",,"('Purdue', 35.5)","('UCLA', 21)",,"('NC State', 33)",,,,
,,"('Maryland', 37.5)",,,"('Louisville', 35.5)",,,,
,,"('Illinois', 39.5)",,,,,,,
