"('SEC', 35.5)","('Big Ten', 64.5)","('ACC', 85)","('Big 12', 97)","('Pac-12', 63)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Georgia', 1)","('Ohio State', 2.5)","('Clemson', 5)","('TCU', 7)","('Oregon', 8)","('Tulane', 19)","('Liberty', 23)","('Coastal Car', 34.5)","('Boise St', 38)","('UTSA', 41.5)"
"('Tennessee', 2.5)","('Michigan', 4)","('North Carolina', 17)","('Kansas St', 13)","('USC', 9)","('UCF', 25)","('Notre Dame', 30)","('Troy', 36)",,
"('Alabama', 6)","('Illinois', 14)","('Wake Forest', 20)","('Oklahoma St', 18)","('UCLA', 10)","('Cincinnati', 29)",,,,
"('Ole Miss', 11)","('Penn State', 16)","('NC State', 21)","('Texas', 26)","('Utah', 12)","('East Carolina', 39.5)",,,,
"('LSU', 15)","('Maryland', 28)","('Syracuse', 22)","('Baylor', 33)","('Oregon St', 24)",,,,,
"('Kentucky', 27)",,"('Florida St', 34.5)",,"('Washington', 31)",,,,,
"('Arkansas', 32)",,"('Louisville', 41.5)",,,,,,,
"('Mississippi St', 37)",,,,,,,,,
"('South Carolina', 39.5)",,,,,,,,,
