"('SEC', 44)","('Big Ten', 77.5)","('Big 12', 'DNS')","('Pac-12', 58)","('ACC', 'DNS')","('FBS Indep.', 'DNS')","('American', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Ohio State', 2)","('TCU', 4)","('USC', 5)","('Clemson', 7)","('Notre Dame', 13)","('Tulane', 19)","('Coastal Car', 23)","('UTSA', 26)","('Boise St', 29)"
"('LSU', 6)","('Michigan', 3)","('Kansas St', 15)","('Oregon', 10)","('Florida St', 16)",,"('Cincinnati', 21)","('Troy', 28)",,"('Fresno St', 38)"
"('Alabama', 8)","('Penn State', 11)","('Texas', 24)","('Washington', 12)","('North Carolina', 18)",,"('UCF', 25)","('South Alabama', 33.5)",,
"('Tennessee', 9)","('Illinois', 30)","('Oklahoma St', 36.0)","('Utah', 14)","('Louisville', 31.5)",,,,,
"('Ole Miss', 20)","('Iowa', 31.5)",,"('UCLA', 17)",,,,,,
"('South Carolina', 27)","('Purdue', 36.0)",,"('Oregon St', 22)",,,,,,
"('Mississippi St', 33.5)",,,,,,,,,
"('Arkansas', 36.0)",,,,,,,,,
