"('ACC', 93.5)","('SEC', 17)","('Big 12', 72)","('Big Ten', 43)","('FBS Indep.', 'DNS')","('Pac-12', 69)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Oklahoma', 5)","('Ohio State', 6)","('Notre Dame', 7)","('Utah', 11)","('UCF', 17)","('Boise St', 22)","('Appalachian St', 37.5)"
"('Virginia', 25)","('Georgia', 3)","('Texas', 12)","('Michigan', 10)","('Army', 31)","('Oregon', 15)","('Memphis', 34)",,
"('North Carolina', 30)","('LSU', 4)","('Iowa State', 26)","('Penn State', 13)",,"('Washington St', 20)",,,
"('Syracuse', 37.5)","('Auburn', 8)","('TCU', 29)","('Wisconsin', 14)",,"('Washington', 23)",,,
"('Boston College', 37.5)","('Florida', 9)","('Oklahoma St', 33)","('Michigan St', 18)",,"('USC', 24)",,,
,"('Texas A&M', 16)",,"('Iowa', 19)",,"('California', 27)",,,
,"('Mississippi St', 28)",,"('Maryland', 21)",,"('Colorado', 32)",,,
,"('Kentucky', 37.5)",,"('Minnesota', 40)",,"('Arizona St', 35)",,,
