"('SEC', 18)","('Big Ten', 33)","('ACC', 'DNS')","('Pac-12', 76)","('Big 12', 65)","('FBS Indep.', 'DNS')","('American', 89)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('MVFC', 'DNS')"
"('LSU', 1)","('Ohio State', 2)","('Clemson', 3)","('Utah', 6)","('Oklahoma', 7)","('Notre Dame', 15)","('Memphis', 17)","('Boise St', 20)","('Appalachian St', 22)","('N Dakota St', 32.5)"
"('Georgia', 4)","('Minnesota', 9)","('Virginia Tech', 23)","('Oregon', 14)","('Baylor', 11)",,"('Cincinnati', 18)","('Air Force', 29)","('Louisiana', 32.5)",
"('Alabama', 5)","('Michigan', 10)","('Virginia', 27)","('USC', 25)","('Oklahoma St', 21)",,"('Navy', 24)",,,
"('Florida', 8)","('Penn State', 12)",,"('Arizona St', 31)","('Iowa State', 26)",,"('SMU', 30)",,,
"('Auburn', 16)","('Wisconsin', 13)",,,,,,,,
"('Texas A&M', 28)","('Iowa', 19)",,,,,,,,
