"('SEC', 21.5)","('Big Ten', 42)","('ACC', 'DNS')","('Big 12', 65)","('Pac-12', 73.0)","('FBS Indep.', 'DNS')","('American', 85)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('LSU', 1)","('Ohio State', 2)","('Clemson', 3)","('Oklahoma', 4)","('Oregon', 7)","('Notre Dame', 14)","('Memphis', 15)","('Boise St', 18)","('Appalachian St', 20)","('FAU', 29.5)","('N Dakota St', 36)"
"('Georgia', 5)","('Wisconsin', 11)","('Virginia', 27)","('Baylor', 8)","('Utah', 12)",,"('Navy', 21)","('Air Force', 24)",,,
"('Florida', 6)","('Penn State', 13)",,"('Oklahoma St', 25)","('USC', 22)",,"('Cincinnati', 23)",,,,
"('Auburn', 9.5)","('Minnesota', 16)",,"('Kansas St', 28)","('Arizona St', 32.0)",,"('SMU', 26)",,,,
"('Alabama', 9.5)","('Michigan', 17)",,"('Iowa State', 32.0)","('California', 34)",,"('UCF', 32.0)",,,,
"('Texas A&M', 29.5)","('Iowa', 19)",,,"('Washington', 35)",,,,,,
