"('ACC', 'DNS')","('SEC', 17)","('Big 12', 68)","('Big Ten', 44.0)","('FBS Indep.', 'DNS')","('Pac-12', 67)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Oklahoma', 5)","('Ohio State', 6)","('Notre Dame', 7)","('Utah', 10)","('UCF', 15)","('Boise St', 20)","('Appalachian St', 36)"
"('Virginia', 21)","('Georgia', 3)","('Texas', 12)","('Michigan', 11)","('Army', 28)","('Oregon', 16)","('Memphis', 30)",,
"('Wake Forest', 31)","('LSU', 4)","('TCU', 25)","('Penn State', 13.5)","('BYU', 32)","('Washington St', 19)","('Temple', 33.5)",,
,"('Auburn', 8)","('Kansas St', 26)","('Wisconsin', 13.5)",,"('Washington', 22)",,,
,"('Florida', 9)","('Oklahoma St', 27)","('Iowa', 18)",,"('California', 23)",,,
,"('Texas A&M', 17)","('Iowa State', 33.5)","('Michigan St', 29)",,"('Arizona St', 24)",,,
,"('Mississippi St', 35)",,"('Minnesota', 37)",,,,,
