"('SEC', 17)","('Big Ten', 35)","('ACC', 'DNS')","('Pac-12', 76)","('Big 12', 70)","('American', 83)","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('LSU', 1)","('Ohio State', 3)","('Clemson', 4)","('Oregon', 7)","('Oklahoma', 10)","('SMU', 15)","('Notre Dame', 16)","('Appalachian St', 20)","('Boise St', 21)","('LA Tech', 32)","('N Dakota St', 35.5)"
"('Alabama', 2)","('Penn State', 5)","('Wake Forest', 23)","('Utah', 9)","('Baylor', 12)","('Cincinnati', 17)",,,"('San Diego St', 25)",,
"('Florida', 6)","('Minnesota', 13)","('Pittsburgh', 35.5)","('Washington', 29)","('Kansas St', 22)","('Memphis', 24)",,,,,
"('Georgia', 8)","('Michigan', 14)",,"('USC', 31)","('Texas', 26)","('Navy', 27)",,,,,
"('Auburn', 11)","('Wisconsin', 18)",,,"('Oklahoma St', 35.5)","('UCF', 28)",,,,,
"('Texas A&M', 30)","('Iowa', 19)",,,"('Iowa State', 35.5)",,,,,,
,"('Indiana', 33)",,,,,,,,,
