AP_XC_4_Team_Race,ACC,SEC,Big 12,Big Ten,FBS Indep.,Pac-12,American,Mountain West,Sun Belt,CUSA,MVFC
Preseason,84.0,19.0,66.0,45.0,,61.0,,,,,
Week 2,81.0,21.0,66.5,44.0,,65.0,,,,,
Week 3,93.5,17.0,72.0,43.0,,69.0,,,,,
Week 4,,17.0,68.0,44.0,,67.0,,,,,
Week 5,81.0,16.0,68.0,39.0,,64.0,120.0,,,,
Week 6,,16.0,70.5,38.0,,65.0,106.5,,,,
Week 7,78.0,16.5,74.5,37.5,,75.0,99.0,,,,
Week 8,,22.0,65.0,33.0,,67.0,94.0,,,,
Week 9,84.5,19.0,57.0,39.0,,77.0,91.0,,,,
Week 10,,17.0,70.0,35.0,,76.0,83.0,,,,
Week 11,95.5,19.0,67.0,35.0,,,84.0,,,,
Week 12,96.5,21.0,69.0,32.0,,89.0,76.0,,,,
Week 13,87.0,20.0,70.0,34.0,,80.0,85.0,,,,
Week 14,,18.0,65.0,33.0,,76.0,89.0,,,,
Week 15,,21.0,69.0,39.0,,74.0,86.0,,,,
Week 16,,21.5,65.0,42.0,,73.0,85.0,,,,
Final,,19.0,83.0,33.0,,79.0,82.0,,,,
