"('SEC', 19)","('ACC', 'DNS')","('Big Ten', 33)","('Pac-12', 79)","('Big 12', 83.0)","('FBS Indep.', 'DNS')","('American', 82)","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('LSU', 1)","('Clemson', 2)","('Ohio State', 3)","('Oregon', 5)","('Oklahoma', 7)","('Notre Dame', 12)","('Memphis', 17)","('Appalachian St', 19)","('Air Force', 22)","('FAU', 27)","('N Dakota St', 38.0)"
"('Georgia', 4)","('Virginia', 29)","('Penn State', 9)","('Utah', 16)","('Baylor', 13)",,"('Navy', 20)","('Louisiana', 38.0)","('Boise St', 23)","('LA Tech', 38.0)",
"('Florida', 6)",,"('Minnesota', 10)","('Washington', 28)","('Texas', 25)",,"('Cincinnati', 21)",,"('San Diego St', 31)",,
"('Alabama', 8)",,"('Wisconsin', 11)","('USC', 30)","('Kansas St', 38.0)",,"('UCF', 24)",,,,
"('Auburn', 14)",,"('Iowa', 15)","('Arizona St', 32)",,,"('SMU', 33)",,,,
"('Texas A&M', 26)",,"('Michigan', 18)","('California', 35)",,,,,,,
"('Tennessee', 34)",,,,,,,,,,
"('Kentucky', 38.0)",,,,,,,,,,
