"('ACC', 81)","('SEC', 16)","('Big Ten', 39)","('Big 12', 68)","('FBS Indep.', 'DNS')","('Pac-12', 64)","('Mountain West', 'DNS')","('American', 120)","('Sun Belt', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 5)","('Oklahoma', 6)","('Notre Dame', 10)","('Oregon', 13)","('Boise St', 16)","('UCF', 22)","('Appalachian St', 32)"
"('Virginia', 18)","('Georgia', 3)","('Wisconsin', 8)","('Texas', 11)","('Army', 29)","('California', 15)",,"('SMU', 28)",
"('Wake Forest', 26)","('LSU', 4)","('Penn State', 12)","('Kansas St', 24)",,"('Washington', 17)",,"('Memphis', 30)",
"('Pittsburgh', 36)","('Auburn', 7)","('Iowa', 14)","('Oklahoma St', 27)",,"('Utah', 19)",,"('Tulane', 40)",
,"('Florida', 9)","('Michigan', 20)","('Iowa State', 31)",,"('USC', 21)",,,
,"('Texas A&M', 23)","('Michigan St', 25)",,,"('Washington St', 33)",,,
,"('Mississippi St', 34.5)","('Minnesota', 38.0)",,,"('Colorado', 38.0)",,,
,"('Missouri', 34.5)",,,,"('Arizona St', 38.0)",,,
