"('SEC', 16)","('ACC', 'DNS')","('Big Ten', 38)","('Big 12', 70.5)","('FBS Indep.', 'DNS')","('Pac-12', 65)","('Mountain West', 'DNS')","('American', 106.5)","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Ohio State', 4)","('Oklahoma', 6)","('Notre Dame', 9)","('Oregon', 13)","('Boise St', 16)","('UCF', 18)","('Appalachian St', 29)"
"('Georgia', 3)","('Wake Forest', 22)","('Wisconsin', 8)","('Texas', 11)","('Army', 30)","('Washington', 15)",,"('SMU', 24)",
"('LSU', 5)","('Virginia', 23)","('Penn State', 12)","('Oklahoma St', 21)",,"('Utah', 17)",,"('Memphis', 28)",
"('Auburn', 7)",,"('Iowa', 14)","('Baylor', 32.5)",,"('Arizona St', 20)",,"('Tulane', 36.5)",
"('Florida', 10)",,"('Michigan', 19)","('Kansas St', 36.5)",,"('California', 27)",,,
"('Texas A&M', 25.5)",,"('Michigan St', 25.5)",,,"('Colorado', 32.5)",,,
"('Missouri', 31)",,"('Minnesota', 34)",,,"('USC', 35)",,,
