"('SEC', 21)","('Big 12', 77)","('Pac-12', 66)","('Big Ten', 42)","('ACC', 66)","('American', 'DNS')","('FBS Indep.', 109)","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Oklahoma', 3)","('Oregon', 4)","('Iowa', 5)","('Clemson', 6)","('Cincinnati', 8)","('Notre Dame', 12)","('Coast Carolina', 16)","('Nevada', 34)","('Toledo', 44.0)"
"('Georgia', 2)","('Iowa State', 14)","('UCLA', 13)","('Ohio State', 9)","('Virginia Tech', 15)","('UCF', 26)","('BYU', 23)",,"('Fresno St', 44.0)",
"('Texas A&M', 7)","('TCU', 27)","('Arizona St', 19)","('Penn State', 10)","('North Carolina', 21)",,"('Liberty', 28)",,,
"('Florida', 11)","('Kansas St', 33)","('USC', 30)","('Wisconsin', 18)","('Miami', 24)",,"('Army', 46)",,,
"('Ole Miss', 17)","('Oklahoma St', 35)","('Stanford', 40)","('Michigan', 25)","('Pitt', 38.5)",,,,,
"('Arkansas', 20)","('Texas', 36)","('Utah', 41)","('Michigan State', 29)","('Boston College', 42)",,,,,
"('Auburn', 22)","('Texas Tech', 44.0)",,"('Indiana', 31)",,,,,,
"('LSU', 32)",,,"('Maryland', 37)",,,,,,
"('Kentucky', 38.5)",,,,,,,,,
