"('SEC', 32)","('Big Ten', 23)","('American', 'DNS')","('Big 12', 68)","('Pac-12', 90)","('FBS Indep.', 'DNS')","('Sun Belt', 'DNS')","('ACC', 99)","('Mountain West', 'DNS')","('CUSA', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Iowa', 3)","('Cincinnati', 5)","('Oklahoma', 6)","('Oregon', 8)","('BYU', 10)","('Coast Carolina', 15)","('Wake Forest', 19)","('San Diego St', 25)","('UTSA', 33)","('W Michigan', 37)"
"('Georgia', 2)","('Penn State', 4)","('SMU', 24)","('Oklahoma St', 12)","('Arizona St', 22)","('Notre Dame', 14)","('Appalachian St', 38.5)","('NC State', 23)","('Fresno St', 35)",,
"('Arkansas', 13)","('Ohio State', 7)",,"('Texas', 21)","('Oregon St', 28)",,,"('Clemson', 26)",,,
"('Kentucky', 16)","('Michigan', 9)",,"('Baylor', 29)","('Stanford', 32)",,,"('Virginia Tech', 31)",,,
"('Ole Miss', 17)","('Michigan State', 11)",,"('Texas Tech', 36)","('UCLA', 40.5)",,,"('Pitt', 34)",,,
"('Auburn', 18)",,,"('Kansas St', 38.5)",,,,"('Boston College', 40.5)",,,
"('Florida', 20)",,,,,,,,,,
"('Texas A&M', 27)",,,,,,,,,,
"('Mississippi St', 30)",,,,,,,,,,
