"('SEC', 34)","('Big Ten', 37)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Big 12', 'DNS')","('Pac-12', 'DNS')","('ACC', 70)","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Michigan', 2)","('Cincinnati', 4)","('Notre Dame', 5)","('Baylor', 6)","('Utah', 10)","('Pitt', 13)","('Louisiana', 16)","('UTSA', 24)","('Utah State', 26)","('N Illinois', 36)"
"('Georgia', 3)","('Ohio State', 7)","('Houston', 21)","('BYU', 12)","('Oklahoma St', 9)","('Oregon', 15)","('NC State', 18)","('Appalachian St', 32)","('Louisiana Tech', 31)","('San Diego St', 28)",
"('Ole Miss', 8)","('Michigan State', 11)",,"('Army', 33)","('Oklahoma', 14)",,"('Clemson', 19)",,,,
"('Arkansas', 22)","('Iowa', 17)",,,,,"('Wake Forest', 20)",,,,
"('Texas A&M', 23)","('Wisconsin', 27)",,,,,,,,,
"('Kentucky', 25)","('Minnesota', 29)",,,,,,,,,
"('Mississippi St', 34.5)","('Purdue', 30)",,,,,,,,,
,"('Penn State', 34.5)",,,,,,,,,
