"('SEC', 29)","('American', 'DNS')","('Big 12', 64)","('Big Ten', 39)","('Pac-12', 'DNS')","('FBS Indep.', 'DNS')","('ACC', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('Georgia', 1)","('Cincinnati', 2)","('Oklahoma', 4)","('Michigan State', 5)","('Oregon', 7)","('Notre Dame', 8)","('Wake Forest', 10)","('UTSA', 16)","('Coast Carolina', 21)","('Fresno St', 25)"
"('Alabama', 3)","('Houston', 20)","('Oklahoma St', 11)","('Ohio State', 6)","('Utah', 34)","('BYU', 17)","('Pitt', 26)",,"('Louisiana', 24)","('San Diego St', 32)"
"('Auburn', 12)","('SMU', 23)","('Baylor', 14)","('Michigan', 9)",,,"('NC State', 27)",,"('Appalachian St', 33)","('Nevada', 36)"
"('Texas A&M', 13)",,"('Iowa State', 35)","('Iowa', 19)",,,,,,
"('Ole Miss', 15)",,,"('Penn State', 22)",,,,,,
"('Kentucky', 18)",,,"('Wisconsin', 28)",,,,,,
"('Mississippi St', 29)",,,"('Minnesota', 31)",,,,,,
"('Arkansas', 30)",,,,,,,,,
