AP_XC_4_Team_Race,SEC,Big 12,ACC,Big Ten,American,FBS Indep.,Pac-12,Sun Belt,Mountain West,MAC,CUSA
Preseason,25.0,56.0,58.0,51.0,,117.5,70.0,,,,
Week 2,21.0,54.0,71.0,42.0,,121.0,63.0,,,,
Week 3,21.0,77.0,66.0,42.0,,109.0,66.0,,,,
Week 4,21.0,69.0,96.0,39.0,,,91.5,,,,
Week 5,21.0,72.0,101.0,34.0,,,96.5,,,,
Week 6,32.0,68.0,99.0,23.0,,,90.0,,,,
Week 7,30.0,69.0,99.0,23.0,,,,,,,
Week 8,32.0,62.0,83.0,27.0,,,106.5,,,,
Week 9,26.0,57.0,88.0,28.0,,,106.5,,,,
Week 10,29.0,64.0,,39.0,,,,,,,
Week 11,27.0,62.0,,42.0,,,,,,,
Week 12,29.0,63.5,,38.0,,,,,,,
Week 13,26.0,,91.0,37.0,,,,,,,
Week 14,36.0,,78.0,35.0,,,,,,,
Week 15,34.0,,70.0,37.0,,,,,,,
Week 16,,,,,,,,,,,
Final,32.0,,62.0,41.0,,,,,116.0,,
