"('Big Ten', 47.5)","('Pac-12', 43)","('Big 12', 63.5)","('SEC', 38)","('ACC', 52.5)","('Mountain West', 115)","('CUSA', 'DNS')","('American', 'DNS')","('FBS Indep.', 'DNS')","('MAC', 'DNS')"
"('OSU', 1)","('Oregon', 2)","('TCU', 3)","('Alabama', 4)","('FSU', 5.5)","('Boise State', 16)","('Marshall', 23)","('Memphis', 25)","('Notre Dame', 26)","('N Illinois', 37)"
"('Michigan State', 5.5)","('UCLA', 10)","('Baylor', 7)","('Georgia', 9)","('Georgia Tech', 8)","('Air Force', 29)",,,,
"('Wisconsin', 13)","('Arizona State', 12)","('Kansas State', 18)","('Miss St', 11)","('Clemson', 15)","('Utah State', 32)",,,,
"('Nebraska', 28)","('Arizona', 19)","('Oklahoma', 35.5)","('Missouri', 14)","('Louisville', 24)","('Colorado State', 38)",,,,
"('Minnesota', 34)","('USC', 20)",,"('Ole Miss', 17)","('Duke', 30)",,,,,
,"('Utah', 21)",,"('Auburn', 22)",,,,,,
,"('Stanford', 27)",,"('LSU', 31)",,,,,,
,,,"('Arkansas', 33)",,,,,,
,,,"('Texas A&M', 35.5)",,,,,,
