"('SEC', 24)","('ACC', 63)","('Pac-12', 41)","('Big 12', 50)","('Big Ten', 53)","('FBS Indep.', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')"
"('Miss St', 1)","('FSU', 2)","('Oregon', 3)","('TCU', 5)","('OSU', 8)","('Notre Dame', 15)","('Marshall', 21)","('Colorado State', 23)","('Ga Southern', 35.0)"
"('Alabama', 4)","('Clemson', 18)","('Arizona State', 7)","('Baylor', 6)","('Nebraska', 11)",,,"('Boise State', 35.0)",
"('Auburn', 9)","('Duke', 19)","('UCLA', 14)","('Kansas State', 13)","('Michigan State', 12)",,,,
"('Ole Miss', 10)","('Georgia Tech', 24)","('Arizona', 17)","('Oklahoma', 26)","('Wisconsin', 22)",,,,
"('Georgia', 16)","('Louisville', 31)","('Utah', 25)","('West Virginia', 32)","('Minnesota', 30)",,,,
"('LSU', 20)","('Miami', 35.0)","('USC', 29)",,,,,,
"('Texas A&M', 27)",,"('Stanford', 33)",,,,,,
"('Missouri', 28)",,,,,,,,
