"('SEC', 15)","('ACC', 78)","('Pac-12', 52)","('FBS Indep.', 'DNS')","('Big Ten', 66)","('Big 12', 52)","('American', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MVFC', 'DNS')"
"('Miss St', 1)","('FSU', 2)","('Oregon', 5)","('Notre Dame', 6)","('Michigan State', 8)","('TCU', 10)","('ECU', 21)","('Marshall', 23)","('Colorado State', 26)","('North Dakota St', 32)"
"('Alabama', 3)","('Clemson', 22)","('Arizona', 14)",,"('OSU', 13)","('Kansas State', 11)",,,,
"('Auburn', 4)","('Duke', 24)","('Arizona State', 15)",,"('Nebraska', 17)","('Baylor', 12)",,,,
"('Ole Miss', 7)","('Louisville', 30)","('Utah', 18)",,"('Wisconsin', 28)","('Oklahoma', 19)",,,,
"('Georgia', 9)",,"('UCLA', 25)",,,"('West Virginia', 20)",,,,
"('LSU', 16)",,"('USC', 27)",,,"('Oklahoma State', 33)",,,,
"('Missouri', 31)",,"('Stanford', 29)",,,,,,,
