"('SEC', np.int64(57))","('Big 12', np.int64(99))","('Pac-10', 'DNS')","('Big East', 'DNS')","('WAC', 'DNS')","('Big Ten', 'DNS')","('Mountain West', 'DNS')","('ACC', 'DNS')","('CUSA', 'DNS')","('FBS Indep.', 'DNS')","('MAC', 'DNS')"
"('Florida', 1)","('Texas', 3)","('USC', 4)","('Cincinnati', 5)","('Boise State', 6)","('Iowa', 7)","('TCU', 8)","('Georgia Tech', 11)","('Houston', 15)","('Notre Dame', 25)","('Central Michigan', 27)"
"('Alabama', 2)","('Oklahoma State', 13)","('Oregon', 10)","('Pittsburgh', 16)",,"('Penn State', 12)","('Utah', 19)","('Virginia Tech', 14)",,"('Navy', 31)",
"('LSU', 9)","('Oklahoma', 22)","('Arizona', 23)","('West Virginia', 20)",,"('Ohio State', 17)","('BYU', 26)","('Miami (FL)', 18)",,,
"('South Carolina', 21)","('Texas Tech', 29)","('California', 28)","('Rutgers', 34)",,"('Wisconsin', 30)",,"('Clemson', 33)",,,
"('Mississippi', 24)","('Kansas', 32)",,,,,,,,,
