AP_XC_4_Team_Race,Pac-12,SEC,Big 12,ACC,Big Ten,Mountain West,Big East,FBS Indep.,CUSA,WAC,MAC,Sun Belt,Other
Preseason,54,20,49,66,50,,145.0,,,,,,
Week 2,62,19,50,62,54,,149.0,,,,,,
Week 3,49,19,43.5,64.5,66.5,,151.0,,,,,,
Week 4,44,15,41,87,80,,,,,,,,
Week 5,41,15,43,93,82,,,,,,,,
Week 6,47,16,41.5,98.5,86,,,,,,,,
Week 7,40,17,39,97.5,97,,,,,,,,
Week 8,43,19,49,91.5,94.0,,,,,,,,
Week 9,38,22,52,99.5,87,,,,,,,,
Week 10,48,21,60,,96.5,,,,,,123.5,,
Week 11,48,22.5,61.5,,81.5,,,,,,108,,
Week 12,47,24,56.5,,74.5,,,,,,,,
Week 13,47,19,61,,69.0,,128.0,,,,,,
Week 14,47,19,66,,61,,140.0,,,,122.0,,
Week 15,45,21,81.0,,66,,141.0,,,,128.0,,
Week 16,,,,,,,,,,,,,
Final,60,20.0,72,,69,,,,,,,,
