"('SEC', 53)","('ACC', 82.5)","('Pac-12', 68)","('Big 12', 69.5)","('Big Ten', 76)","('Mountain West', 'DNS')","('CUSA', 'DNS')","('American', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('FSU', 2)","('Oregon', 3)","('TCU', 4)","('OSU', 6)","('Boise State', 22)","('Marshall', 28.5)","('Memphis', 30)","('N Illinois', 35.5)"
"('Miss St', 10)","('Georgia Tech', 12)","('Arizona', 8)","('Baylor', 5)","('Michigan State', 7)","('Colorado State', 31)",,"('UCF', 35.5)",
"('Ole Miss', 13)","('Clemson', 19)","('UCLA', 16)","('Kansas State', 9)","('Wisconsin', 11)","('Air Force', 32)",,"('Cincinnati', 37)",
"('Missouri', 14)","('Louisville', 21)","('Arizona State', 17)","('Oklahoma', 18)","('Nebraska', 25)",,,,
"('Georgia', 15)","('Duke', 28.5)","('Utah', 24)","('West Virginia', 33.5)","('Minnesota', 27)",,,,
"('Auburn', 20)",,"('USC', 26)",,,,,,
"('LSU', 23)",,"('Stanford', 33.5)",,,,,,
