"('ACC', 133.5)","('Pac-12', 66)","('SEC', 37)","('Big 12', 80)","('FBS Indep.', 'DNS')","('Big Ten', 100)","('American', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('FSU', 1)","('Oregon', 2)","('Alabama', 3)","('Oklahoma', 4)","('Notre Dame', 9)","('Michigan State', 10)","('ECU', 22)","('Marshall', 30)","('North Dakota St', 36)"
"('Clemson', 28)","('UCLA', 8)","('Auburn', 5)","('Baylor', 7)","('BYU', 18)","('Wisconsin', 17)",,,
"('Georgia Tech', 31)","('Stanford', 14)","('Texas A&M', 6)","('Oklahoma State', 21)",,"('Nebraska', 19)",,,
"('Louisville', 35)","('USC', 16)","('Ole Miss', 11)","('Kansas State', 23)",,"('OSU', 20)",,,
"('UVA', 38.5)","('Arizona State', 26)","('Miss St', 12)","('TCU', 25)",,"('Maryland', 34)",,,
"('NC State', 38.5)","('Arizona', 29)","('Georgia', 13)","('West Virginia', 32)",,,,,
,"('Washington', 37)","('LSU', 15)",,,,,,
,,"('Missouri', 24)",,,,,,
,,"('South Carolina', 27)",,,,,,
,,"('Arkansas', 33)",,,,,,
