"('SEC', 22)","('ACC', 'DNS')","('Pac-12', 74)","('FBS Indep.', 'DNS')","('Big Ten', 98.5)","('Big 12', 72)","('American', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MVFC', 'DNS')"
"('Miss St', 1)","('FSU', 2)","('Oregon', 6)","('Notre Dame', 7)","('Michigan State', 8)","('TCU', 10)","('ECU', 18)","('Marshall', 23)","('Colorado State', 29)","('North Dakota St', 33.5)"
"('Ole Miss', 3)","('Clemson', 21)","('Arizona State', 14)",,"('OSU', 13)","('Kansas State', 11)",,,,
"('Alabama', 4)","('Duke', 26)","('Arizona', 15)",,"('Nebraska', 16)","('Baylor', 12)",,,,
"('Auburn', 5)","('Louisville', 31.0)","('Utah', 19)",,"('Minnesota', 28)","('Oklahoma', 17)",,,,
"('Georgia', 9)",,"('USC', 20)",,"('Maryland', 33.5)","('West Virginia', 22)",,,,
"('LSU', 24)",,"('UCLA', 25)",,,"('Oklahoma State', 27)",,,,
"('Missouri', 31.0)",,"('Stanford', 31.0)",,,,,,,
"('Texas A&M', 35)",,,,,,,,,
