AP_XC_4_Team_Race,ACC,SEC,Big Ten,Pac-10,Big 12,Big East,FBS Indep.,Mountain West,MAC,CUSA,WAC
Preseason,74,41.5,30,64,45,103,,136,,,
Week 2,58,37,31,78,44,,,,,,
Week 3,56,34,30,76,55,,,,,,
Week 4,,32.5,31,79,,,,,,,
Week 5,,35,31,89,48,,,,,,
Week 6,64,36,29,110,39,,,134,,,
Week 7,,36,33,,49,,,,,,
Week 8,,36,34,,44,,,,,,
Week 9,,33,38,,41,,,,,,
Week 10,,27.5,46,,48.5,,,,,,
Week 11,,29,45,,47,,,,,,
Week 12,,26,48,,48,,,,,,
Week 13,,30,43,,43,,,,,,
Week 14,,35,38,,43,,,,,,
Week 15,,34,36,,41,,,,,,
Week 16,,36,33,,42,,,,,,
Final,,42,27,,53,,,,,,
