"('ACC', 'DNS')","('SEC', np.float64(32.5))","('Big Ten', np.int64(31))","('Big 12', 'DNS')","('Big East', 'DNS')","('Pac-10', np.int64(79))","('Mountain West', 'DNS')","('FBS Indep.', 'DNS')"
"('Florida State', 1)","('Tennessee', 2)","('Penn State', 3)","('Nebraska', 4.5)","('Miami (FL)', 8)","('USC', 17)","('Colorado State', 23)","('Notre Dame', 24)"
"('Georgia Tech', 12)","('Florida', 4.5)","('Michigan', 6)","('Texas A&M', 7)","('Virginia Tech', 10)","('Arizona', 19)","('BYU', 25)",
"('NC State', 20)","('Georgia', 11)","('Wisconsin', 9)","('Kansas State', 16)",,"('UCLA', 21)",,
,"('Arkansas', 15)","('Ohio State', 13)",,,"('Arizona State', 22)",,
,"('Alabama', 18)","('Purdue', 14)",,,,,
