"('ACC', 'DNS')","('Big East', 'DNS')","('Big 12', np.int64(42))","('Big Ten', np.int64(33))","('SEC', np.int64(36))","('MAC', 'DNS')","('CUSA', 'DNS')","('Pac-10', 'DNS')"
"('Florida State', 1)","('Virginia Tech', 2)","('Nebraska', 3)","('Wisconsin', 4)","('Alabama', 5)","('Marshall', 11)","('Southern Miss', 16)","('Stanford', 22)"
"('Georgia Tech', 17)","('Miami (FL)', 23)","('Kansas State', 7)","('Michigan', 8)","('Tennessee', 6)",,"('East Carolina', 20)",
,"('Boston College', 25)","('Texas', 14)","('Michigan State', 9)","('Florida', 10)",,,
,,"('Texas A&M', 18)","('Minnesota', 12)","('Mississippi State', 15)",,,
,,,"('Penn State', 13)","('Georgia', 21)",,,
,,,"('Purdue', 19)","('Arkansas', 24)",,,
