"('ACC', 'DNS')","('Big Ten', np.int64(46))","('Big East', 'DNS')","('SEC', np.float64(27.5))","('Big 12', np.float64(48.5))","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Florida State', 1)","('Penn State', 2)","('Virginia Tech', 3)","('Tennessee', 4)","('Kansas State', 6)","('Marshall', 13)","('BYU', 16)","('East Carolina', 17)"
"('Georgia Tech', 7)","('Wisconsin', 11)","('Miami (FL)', 23)","('Florida', 5)","('Nebraska', 8.5)",,,"('Southern Miss', 20)"
,"('Michigan', 15)",,"('Mississippi State', 8.5)","('Texas', 12)",,,
,"('Purdue', 18)",,"('Georgia', 10)","('Texas A&M', 22)",,,
,"('Michigan State', 19)",,"('Alabama', 14)","('Oklahoma', 24)",,,
,"('Ohio State', 21)",,"('Mississippi', 25)",,,,
