"('ACC', 'DNS')","('Big Ten', np.int64(34))","('Big 12', np.int64(44))","('Big East', 'DNS')","('SEC', np.int64(36))","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Florida State', 1)","('Penn State', 2)","('Nebraska', 3)","('Virginia Tech', 4)","('Tennessee', 6)","('Marshall', 15)","('BYU', 21)","('East Carolina', 23)"
"('Georgia Tech', 8)","('Michigan State', 5)","('Kansas State', 9)","('Syracuse', 16)","('Florida', 7)",,,"('Southern Miss', 25)"
,"('Michigan', 10)","('Texas A&M', 13)","('Miami (FL)', 24)","('Alabama', 11)",,,
,"('Wisconsin', 17)","('Texas', 19)",,"('Mississippi State', 12)",,,
,"('Ohio State', 18)",,,"('Georgia', 14)",,,
,"('Purdue', 20)",,,"('Mississippi', 22)",,,
