"('SEC', 32)","('Big Ten', 29)","('ACC', 37)","('Pac-12', 65)","('American', 'DNS')","('Big 12', 87)","('Mountain West', 'DNS')","('MAC', 'DNS')","('MVFC', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Clemson', 3)","('Washington', 5)","('Houston', 6)","('Baylor', 13)","('Boise State', 19)","('W Michigan', 26)","('North Dakota St', 29.5)"
"('Texas A&M', 8)","('Michigan', 4)","('Louisville', 7)","('Stanford', 15)","('USF', 38)","('Oklahoma', 20)","('Air Force', 35)",,
"('Tennessee', 9)","('Wisconsin', 11)","('Miami', 10)","('Colorado', 21)",,"('West Virginia', 22)","('San Diego State', 36)",,
"('Ole Miss', 14)","('Nebraska', 12)","('UNC', 17)","('Utah', 24)",,"('Oklahoma State', 32)",,,
"('Arkansas', 16)","('Maryland', 34)","('FSU', 23)","('UCLA', 27)",,"('TCU', 33)",,,
"('Florida', 18)","('Michigan State', 37)","('VT', 25)","('Arizona State', 39)",,"('Texas', 42)",,,
"('LSU', 28)","('Indiana', 40.5)",,"('Cal', 40.5)",,,,,
"('Auburn', 29.5)",,,,,,,,
"('Georgia', 31)",,,,,,,,
