"('SEC', 46)","('ACC', 43)","('Big Ten', 31)","('American', 'DNS')","('Pac-12', 66)","('Big 12', 62)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('OSU', 4)","('Houston', 6)","('Stanford', 7)","('Texas', 11)","('Notre Dame', 18)","('Boise State', 28)"
"('Georgia', 9)","('FSU', 3)","('Michigan', 5)","('Navy', 36)","('Washington', 8)","('Oklahoma', 14)","('BYU', 35)","('San Diego State', 30)"
"('Tennessee', 17)","('Louisville', 13)","('Wisconsin', 10)",,"('Oregon', 24)","('TCU', 15)",,
"('Ole Miss', 19)","('Miami', 25)","('Michigan State', 12)",,"('UCLA', 27)","('Oklahoma State', 22)",,
"('Texas A&M', 20)","('UNC', 31)","('Iowa', 16)",,"('Utah', 29)","('Baylor', 23)",,
"('LSU', 21)","('Pitt', 34)","('Nebraska', 32.5)",,"('Colorado', 37.5)","('West Virginia', 37.5)",,
"('Florida', 26)",,,,,,,
"('Auburn', 32.5)",,,,,,,
