"('SEC', 49)","('ACC', 42)","('Big Ten', 28)","('American', 'DNS')","('Pac-12', 63.5)","('Big 12', 72.5)","('FBS Indep.', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('FSU', 2)","('OSU', 3)","('Houston', 6)","('Stanford', 7)","('Texas', 11)","('Notre Dame', 18)","('San Diego State', 28)","('Cent Michigan', 36)"
"('Tennessee', 15)","('Clemson', 5)","('Michigan', 4)","('Cincinnati', 38.5)","('Washington', 8)","('Oklahoma', 14)",,"('Boise State', 30)",
"('Georgia', 16)","('Louisville', 10)","('Wisconsin', 9)",,"('Oregon', 22)","('Baylor', 21)",,,
"('Texas A&M', 17)","('Miami', 25)","('Michigan State', 12)",,"('Utah', 26.5)","('TCU', 26.5)",,,
"('Ole Miss', 19)","('Pitt', 31)","('Iowa', 13)",,"('UCLA', 29)","('Oklahoma State', 32)",,,
"('LSU', 20)","('UNC', 34)","('Nebraska', 33)",,"('Colorado', 37)",,,,
"('Florida', 23)",,,,"('Arizona State', 38.5)",,,,
"('Arkansas', 24)",,,,,,,,
"('Auburn', 35)",,,,,,,,
