"('ACC', 45)","('SEC', 51)","('Pac-12', 36)","('Big 12', 60)","('Big Ten', 32)","('MAC', 'DNS')","('American', 130.0)","('Mountain West', 'DNS')","('CUSA', 'DNS')","('FBS Indep.', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('USC', 3)","('Oklahoma', 5)","('OSU', 6)","('W Michigan', 15)","('USF', 19)","('San Diego State', 25)","('W Kentucky', 29)","('BYU', 36)"
"('FSU', 8)","('LSU', 13)","('Washington', 4)","('Oklahoma State', 11)","('Penn State', 7)",,"('Tulsa', 35)","('Air Force', 30)",,
"('VT', 16)","('Florida', 14)","('Stanford', 12)","('West Virginia', 18)","('Wisconsin', 9)",,"('Houston', 38.0)","('Boise State', 32)",,
"('Miami', 20)","('Tennessee', 22)","('Colorado', 17)","('Kansas State', 26)","('Michigan', 10)",,"('Temple', 38.0)",,,
"('Louisville', 21)","('Auburn', 24)","('Utah', 23)",,"('Nebraska', 28)",,"('Navy', 40.5)",,,
"('Georgia Tech', 27)",,"('Washington St', 40.5)",,"('Iowa', 33)",,,,,
"('Pitt', 31)",,,,"('Minnesota', 34)",,,,,
"('UNC', 38.0)",,,,,,,,,
