AP_XC_4_Team_Race,SEC,ACC,Big 12,Big Ten,Pac-12,FBS Indep.,American,Mountain West,CUSA,MAC,MVFC,Sun Belt
Preseason,26.0,47.0,60.0,42.0,58.0,,,,,,,
Week 2,46.0,43.0,62.0,31.0,66.0,,,,,,,
Week 3,49.0,42.0,72.5,28.0,63.5,,,,,,,
Week 4,37.0,36.0,88.0,25.0,67.5,,,,,,,
Week 5,37.0,34.0,83.0,29.0,61.0,,,,,,,
Week 6,32.0,37.0,87.0,29.0,65.0,,,,,,,
Week 7,28.0,40.0,80.0,24.0,85.0,,,,,,,
Week 8,39.0,46.0,65.0,23.0,79.0,,,,,,,
Week 9,39.0,41.0,62.0,26.0,70.0,,,,,,,
Week 10,29.0,45.0,61.0,25.0,66.0,,,,,,,
Week 11,38.0,41.0,62.0,27.0,56.0,,130.0,,,,,
Week 12,56.0,52.0,,21.0,45.0,,,,,,,
Week 13,52.0,57.0,,18.0,48.0,,113.0,,,,,
Week 14,55.0,50.0,,21.0,40.0,,102.5,,,,,
Week 15,57.0,46.0,72.0,21.0,40.0,,106.0,,,,,
Week 16,,,,,,,,,,,,
Final,51.0,45.0,60.0,32.0,36.0,,130.0,,,,,
