"('SEC', 28)","('Big Ten', 24)","('ACC', 40)","('Pac-12', 85)","('Big 12', 80)","('American', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')","('MVFC', 'DNS')"
"('Alabama', 1)","('OSU', 2)","('Clemson', 3)","('Washington', 5)","('Baylor', 11)","('Houston', 13)","('Boise State', 15)","('W Michigan', 24)","('North Dakota St', 31)"
"('Texas A&M', 6)","('Michigan', 4)","('Louisville', 7)","('Utah', 21)","('Oklahoma', 19)","('Navy', 25)","('Air Force', 39.5)",,
"('Tennessee', 9)","('Wisconsin', 8)","('FSU', 14)","('Arizona State', 27)","('West Virginia', 20)","('USF', 34)","('San Diego State', 39.5)",,
"('Ole Miss', 12)","('Nebraska', 10)","('Miami', 16)","('Stanford', 32)","('Oklahoma State', 30)",,,,
"('Florida', 18)","('Iowa', 38)","('VT', 17)","('Colorado', 33)","('TCU', 35)",,,,
"('Arkansas', 22)",,"('UNC', 28)","('Washington St', 36.5)",,,,,
"('Auburn', 23)",,"('NC State', 36.5)",,,,,,
"('Georgia', 26)",,"('Wake Forest', 41)",,,,,,
"('LSU', 29)",,,,,,,,
