"('SEC', 24)","('ACC', 35)","('Big Ten', 45)","('American', 'DNS')","('Big 12', 75)","('Sun Belt', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 106.0)","('MAC', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('Alabama', 1)","('Notre Dame', 2)","('Ohio State', 3)","('Cincinnati', 7)","('Iowa State', 10)","('Coastal Car', 11)","('BYU', 14)","('USC', 16)","('Buffalo', 24)","('Marshall', 27.5)","('San José State', 27.5)"
"('Texas A&M', 5)","('Clemson', 4)","('Indiana', 8)","('Tulsa', 18)","('Oklahoma', 13)","('Louisiana', 17)","('Liberty', 22)","('Colorado', 21)",,,"('Boise St', 31.5)"
"('Florida', 6)","('Miami', 9)","('Northwestern', 15)","('UCF', 30)","('Texas', 23)",,"('Army', 36)","('Washington', 31.5)",,,"('Nevada', 35)"
"('Georgia', 12)","('North Carolina', 20)","('Iowa', 19)",,"('Oklahoma St', 29)",,,"('UCLA', 37.5)",,,
"('Auburn', 33)","('NC State', 26)","('Wisconsin', 25)",,"('TCU', 37.5)",,,,,,
"('Missouri', 34)",,,,,,,,,,
