"('SEC', 25)","('ACC', 41)","('Big Ten', 44)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 'DNS')","('Big 12', 70)","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')","('MAC', 'DNS')"
"('Alabama', 1)","('Notre Dame', 2)","('Ohio State', 3)","('Cincinnati', 7)","('BYU', 8)","('Oregon', 9)","('Oklahoma', 14)","('Coastal Car', 16)","('Marshall', 17)","('Nevada', 28)","('Buffalo', 33.5)"
"('Texas A&M', 5)","('Clemson', 4)","('Northwestern', 11)","('Tulsa', 24)","('Liberty', 27)","('USC', 19)","('Iowa State', 15)","('Louisiana', 23)","('FAU', 32)","('Boise St', 31)",
"('Florida', 6)","('Miami', 10)","('Indiana', 12)","('SMU', 29)",,"('Washington', 26)","('Texas', 20)",,,"('San José State', 33.5)",
"('Georgia', 13)","('North Carolina', 25)","('Wisconsin', 18)",,,,"('Oklahoma St', 21)",,,,
"('Auburn', 22)",,"('Iowa', 30)",,,,,,,,
