"('ACC', 44)","('SEC', 22)","('Big Ten', 49)","('American', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 100.5)","('Big 12', 72)","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('Mountain West', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 3)","('Cincinnati', 6)","('BYU', 9)","('Oregon', 12)","('Oklahoma St', 14)","('Coastal Car', 15)","('Marshall', 16)","('Boise St', 21)"
"('Notre Dame', 4)","('Georgia', 5)","('Wisconsin', 10)","('SMU', 18)","('Liberty', 25)","('USC', 20)","('Iowa State', 17)","('Louisiana', 27)",,"('San Diego St', 38)"
"('Miami', 11)","('Texas A&M', 7)","('Indiana', 13)","('Tulsa', 30)","('Army', 31)","('Utah', 33.5)","('Oklahoma', 19)","('Appalachian St', 40)",,
"('North Carolina', 28)","('Florida', 8)","('Michigan', 23)",,,"('Washington', 35)","('Texas', 22)",,,
"('Virginia Tech', 37)","('Auburn', 24)","('Northwestern', 26)",,,"('Arizona St', 39)","('Kansas St', 32)",,,
"('Wake Forest', 41)",,"('Penn State', 29)",,,"('California', 43)","('West Virginia', 33.5)",,,
,,"('Purdue', 36)",,,,,,,
,,"('Michigan St', 42)",,,,,,,
