"('ACC', 32)","('SEC', 25)","('Big Ten', 42)","('Big 12', 69)","('American', 83)","('FBS Indep.', 'DNS')","('Pac-12', 103.5)","('CUSA', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Ohio State', 3)","('Oklahoma St', 6)","('Cincinnati', 7)","('BYU', 11)","('Oregon', 14)","('Marshall', 19)","('Coastal Car', 20)","('Boise St', 25)"
"('Notre Dame', 4)","('Georgia', 5)","('Wisconsin', 9)","('Kansas St', 16)","('SMU', 22)","('Liberty', 27)","('USC', 21)",,"('Louisiana', 29)","('San Diego St', 43)"
"('Miami', 12)","('Texas A&M', 8)","('Michigan', 13)","('Iowa State', 23)","('Memphis', 26)","('Army', 30)","('Utah', 33)",,"('Appalachian St', 39)",
"('North Carolina', 15)","('Florida', 10)","('Indiana', 17)","('Oklahoma', 24)","('Tulsa', 28)",,"('Washington', 35.5)",,,
"('Boston College', 41.5)","('Auburn', 31)","('Penn State', 18)","('Texas', 41.5)",,,"('Arizona St', 38)",,,
,"('Arkansas', 35.5)","('Minnesota', 32)",,,,"('California', 40)",,,
,,"('Northwestern', 34)",,,,,,,
,,"('Purdue', 37)",,,,,,,
