"('SEC', 34)","('Big Ten', 47)","('ACC', 133.5)","('Pac-12', 'DNS')","('Big 12', 96)","('FBS Indep.', 'DNS')","('American', 113.0)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')","('MVFC', 'DNS')"
"('LSU', 1)","('Ohio State', 2)","('Clemson', 3)","('Oregon', 6)","('Oklahoma', 10)","('Notre Dame', 16)","('Cincinnati', 17)","('Boise St', 19)","('Appalachian St', 26)","('LA Tech', 30)","('N Dakota St', 40.0)"
"('Alabama', 4)","('Minnesota', 7)","('Wake Forest', 29)","('Utah', 8)","('Baylor', 12)",,"('Memphis', 18)","('San Diego St', 32)",,,
"('Georgia', 5)","('Penn State', 9)","('Virginia', 31)","('Washington', 35)","('Texas', 22)",,"('SMU', 20)","('Air Force', 37.0)",,,
"('Florida', 11)","('Michigan', 14)","('Virginia Tech', 33.5)","('USC', 40.0)","('Oklahoma St', 25)",,"('Navy', 21)",,,,
"('Auburn', 13)","('Wisconsin', 15)","('Pittsburgh', 37.0)",,"('Kansas St', 27)",,"('UCF', 37.0)",,,,
"('Texas A&M', 28)","('Iowa', 23)",,,"('Iowa State', 33.5)",,,,,,
,"('Indiana', 24)",,,,,,,,,
,"('Illinois', 40.0)",,,,,,,,,
