"('SEC', 29)","('Big Ten', 58)","('ACC', 'DNS')","('Big 12', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 111.5)","('American', 125.5)","('Sun Belt', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')"
"('Alabama', 1)","('Ohio State', 3)","('Clemson', 4)","('Oklahoma', 5)","('Notre Dame', 8)","('Oregon', 11)","('SMU', 16)","('Appalachian St', 21)","('Boise St', 22)","('LA Tech', 36)"
"('LSU', 2)","('Penn State', 6)","('Wake Forest', 25)","('Baylor', 14)",,"('Utah', 12)","('Cincinnati', 18)",,"('San Diego St', 28.5)",
"('Florida', 7)","('Wisconsin', 13)","('Virginia', 27)","('Texas', 15)",,"('Arizona St', 24)","('Memphis', 26)",,,
"('Auburn', 9)","('Minnesota', 17)","('Pittsburgh', 28.5)","('Iowa State', 23)",,"('Washington', 30)","('Navy', 31)",,,
"('Georgia', 10)","('Michigan', 19)",,,,"('USC', 34.5)","('UCF', 34.5)",,,
"('Texas A&M', 32)","('Iowa', 20)",,,,,"('Tulane', 37)",,,
"('Missouri', 33)",,,,,,,,,
