"('SEC', 28.5)","('ACC', 'DNS')","('Big Ten', 54.5)","('Big 12', 'DNS')","('FBS Indep.', 'DNS')","('Pac-12', 106)","('Mountain West', 'DNS')","('American', 133)","('Sun Belt', 'DNS')"
"('Alabama', 1)","('Clemson', 2)","('Ohio State', 3.5)","('Oklahoma', 6)","('Notre Dame', 9)","('Oregon', 13)","('Boise St', 14)","('SMU', 21)","('Appalachian St', 28)"
"('Georgia', 3.5)","('Wake Forest', 19)","('Wisconsin', 8)","('Texas', 11)",,"('Utah', 15)",,"('Memphis', 23)",
"('LSU', 5)","('Virginia', 20)","('Penn State', 10)","('Baylor', 22)",,"('Arizona St', 18)",,"('Cincinnati', 25)",
"('Florida', 7)","('Pittsburgh', 37)","('Michigan', 16)","('Iowa State', 35.5)",,"('Washington', 29)",,"('Tulane', 30)",
"('Auburn', 12)",,"('Iowa', 17)",,,"('California', 31)",,"('UCF', 34)",
"('Texas A&M', 24)",,"('Minnesota', 26)",,,"('Arizona', 33)",,,
"('Missouri', 27)",,"('Michigan St', 32)",,,"('USC', 35.5)",,,
