"('ACC', 120)","('SEC', 31)","('Big 12', 109.5)","('Big Ten', 64)","('FBS Indep.', 'DNS')","('Pac-12', 86)","('American', 'DNS')","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('CUSA', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Oklahoma', 4)","('Ohio State', 5)","('Notre Dame', 9)","('Oregon', 11)","('UCF', 17)","('Boise St', 33)","('Appalachian St', 41)","('UAB', 43.5)"
"('Syracuse', 22)","('Georgia', 3)","('Texas', 10)","('Michigan', 7)","('Army', 27)","('Washington', 13)","('Cincinnati', 34)","('Utah State', 37.5)",,
"('Miami', 29)","('LSU', 6)","('Iowa State', 21)","('Penn State', 15)",,"('Utah', 14)","('Memphis', 40)","('Fresno St', 37.5)",,
"('Virginia', 32)","('Florida', 8)","('TCU', 31)","('Michigan St', 18)",,"('Washington St', 23)",,,,
"('Virginia Tech', 36)","('Texas A&M', 12)","('West Virginia', 43.5)","('Wisconsin', 19)",,"('Stanford', 25)",,,,
,"('Auburn', 16)","('Oklahoma St', 43.5)","('Iowa', 20)",,"('Arizona St', 43.5)",,,,
,"('Missouri', 26)",,"('Nebraska', 24)",,"('USC', 46.5)",,,,
,"('Mississippi St', 28)",,"('Northwestern', 30)",,"('Arizona', 46.5)",,,,
,"('South Carolina', 35)",,"('Minnesota', 39)",,,,,,
