"('SEC', 32)","('Big Ten', 56)","('ACC', 'DNS')","('Pac-12', 107)","('Big 12', 100.0)","('FBS Indep.', 'DNS')","('American', 115.5)","('Mountain West', 'DNS')","('Sun Belt', 'DNS')","('MVFC', 'DNS')"
"('LSU', 1)","('Ohio State', 2)","('Clemson', 3)","('Utah', 5)","('Oklahoma', 6)","('Notre Dame', 14)","('Memphis', 16)","('Boise St', 19)","('Appalachian St', 20)","('N Dakota St', 35)"
"('Georgia', 4)","('Wisconsin', 10)","('Virginia', 22)","('Oregon', 13)","('Baylor', 8)",,"('Cincinnati', 21)","('Air Force', 25)",,
"('Florida', 7)","('Penn State', 12)","('Virginia Tech', 29.5)","('USC', 24)","('Kansas St', 27.5)",,"('Navy', 23)",,,
"('Alabama', 9)","('Minnesota', 15)",,"('Arizona St', 32)","('Oklahoma St', 27.5)",,"('SMU', 26)",,,
"('Auburn', 11)","('Michigan', 17)",,"('California', 33)","('Iowa State', 31)",,"('UCF', 29.5)",,,
,"('Iowa', 18)",,"('Washington', 34)",,,,,,
