AP_XC_5_Team_Race,SEC,Big Ten,Pac-10,Big 12,Big East,ACC,Mountain West,WAC,CUSA,FBS Indep.,MAC,Sun Belt
Preseason,41,89,108,47,116,113,,,,,,
Week 2,36,,85.5,46,129,140.0,,,,,,
Week 3,33,,81,42,,142,,,,,,
Week 4,32,95,136,44,,128,,,,,,
Week 5,35,91,,43,,132,,,,,,
Week 6,41,95,,33,,140,,,,,,
Week 7,40,95,,32,,127,,,,,,
Week 8,52,97,,31,,115,,,,,,
Week 9,55,94,148,36,,124,,,,,,
Week 10,,95,134,34,142,125,,,,,,
Week 11,66,88,132,34,144,,,,,,,
Week 12,60,109,116,34,,129,,,,,,
Week 13,69,93,,34,,124,,,,,,
Week 14,70,90,,37,,138.5,,,,,,
Week 15,,87,,48,,124,,,,,,
Week 16,,83,,51,,,,,,,,
Final,61,91,91,56,,,,,,,,
