AP_XC_4_Team_Race,Big Ten,Big 12,SEC,Pac-12,ACC,FBS Indep.,Mountain West,American,MAC,CUSA,Sun Belt
Preseason,57.0,53.0,32.0,43.0,67.0,,,,,,
Week 2,60.0,56.0,32.0,50.0,75.5,,,,,,
Week 3,52.0,49.0,37.0,48.0,69.0,,,,,,
Week 4,42.5,47.5,30.5,56.0,78.0,,,,,,
Week 5,38.0,44.0,33.0,52.0,91.0,,,142.0,,,
Week 6,36.0,36.0,35.0,58.0,,,,117.5,,,
Week 7,37.0,40.0,33.0,60.0,79.0,,,114.0,,,
Week 8,35.5,37.0,41.5,61.0,63.0,,,,,,
Week 9,32.0,33.0,41.0,73.0,65.0,,,,,,
Week 10,33.0,33.0,41.0,71.0,71.0,,,93.5,,,
Week 11,39.0,34.0,43.0,61.0,,,,84.0,,,
Week 12,31.0,32.0,53.0,78.0,60.0,,,92.0,,,
Week 13,29.0,36.0,54.0,73.0,53.0,,,101.0,,,
Week 14,28.0,40.0,59.0,67.0,,,,90.0,,,
Week 15,28.0,46.0,59.0,67.0,,,,92.0,,,
Week 16,,,,,,,,,,,
Final,31.0,45.0,49.0,66.0,66.0,,,,,,
