"('Big Ten', 33)","('Big 12', 33)","('ACC', 71)","('SEC', 41)","('FBS Indep.', 'DNS')","('Pac-12', 71)","('American', 93.5)","('MAC', 'DNS')","('Sun Belt', 'DNS')","('Mountain West', 'DNS')"
"('OSU', 1)","('Baylor', 2)","('Clemson', 3)","('LSU', 4)","('Notre Dame', 8)","('Stanford', 9)","('Memphis', 15)","('Toledo', 20)","('Appalachian St', 33.0)","('Boise State', 33.0)"
"('Michigan State', 6)","('TCU', 5)","('FSU', 17)","('Alabama', 7)","('BYU', 28)","('Utah', 13)","('Houston', 18)",,,
"('Iowa', 10)","('Oklahoma State', 12)","('UNC', 21)","('Florida', 11)",,"('UCLA', 22)","('Temple', 23)",,,
"('Michigan', 16)","('Oklahoma', 14)","('Duke', 30)","('Ole Miss', 19)",,"('USC', 27)","('Navy', 37.5)",,,
"('Wisconsin', 26)",,"('Pitt', 35.5)","('Miss St', 24)",,"('Cal', 33.0)",,,,
"('Northwestern', 29)",,,"('Texas A&M', 25)",,"('Washington St', 37.5)",,,,
"('Penn State', 31)",,,"('Tennessee', 35.5)",,,,,,
