"('ACC', 'DNS')","('Big Ten', 39)","('SEC', 43)","('Big 12', 34)","('FBS Indep.', 'DNS')","('Pac-12', 61)","('American', 84)","('Mountain West', 'DNS')","('MAC', 'DNS')","('CUSA', 'DNS')"
"('Clemson', 1)","('OSU', 2)","('Alabama', 3)","('Baylor', 4)","('Notre Dame', 6)","('Stanford', 7)","('Houston', 16)","('Boise State', 29.5)","('Toledo', 31)","('W Kentucky', 32.5)"
"('UNC', 17)","('Iowa', 8)","('LSU', 9)","('Oklahoma State', 5)","('BYU', 27)","('Utah', 10)","('Temple', 21)",,,
"('FSU', 19)","('Michigan State', 14)","('Florida', 11)","('Oklahoma', 12)",,"('UCLA', 18)","('Navy', 22)",,,
,"('Michigan', 15)","('Miss St', 20)","('TCU', 13)",,"('USC', 26)","('Memphis', 25)",,,
,"('Wisconsin', 23)","('Ole Miss', 28)",,,"('Washington St', 32.5)",,,,
,"('Northwestern', 24)","('Texas A&M', 29.5)",,,,,,,
