"('ACC', 53)","('SEC', 54)","('Big Ten', 29)","('FBS Indep.', 'DNS')","('Big 12', 36)","('Pac-12', 73)","('American', 101.0)","('MAC', 'DNS')","('Mountain West', 'DNS')","('CUSA', 'DNS')","('Sun Belt', 'DNS')"
"('Clemson', 1)","('Alabama', 2)","('Iowa', 3)","('Notre Dame', 4)","('Oklahoma', 5)","('Stanford', 13)","('Navy', 16)","('Toledo', 24)","('Air Force', 31)","('W Kentucky', 34)","('Arkansas State', 39.0)"
"('UNC', 11)","('Florida', 10)","('Michigan State', 6)","('BYU', 36)","('Baylor', 7)","('Oregon', 18)","('Houston', 21)",,,,
"('FSU', 14)","('Ole Miss', 19)","('OSU', 8)",,"('Oklahoma State', 9)","('Washington St', 20)","('Temple', 25)",,,,
"('Pitt', 27)","('Miss St', 23)","('Michigan', 12)",,"('TCU', 15)","('UCLA', 22)","('USF', 39.0)",,,,
,"('LSU', 28)","('Northwestern', 17)",,"('West Virginia', 39.0)","('Utah', 26)",,,,,
,"('Texas A&M', 29)","('Wisconsin', 30)",,,"('USC', 32)",,,,,
,"('Arkansas', 33)",,,,,,,,,
,"('Georgia', 35)",,,,,,,,,
,"('Tennessee', 37)",,,,,,,,,
